millis,stamp,datetime,humidity,temp
111299999,1669068551,"2022/11/21 22:9:11",30.40,22.40
111599998,1669068851,"2022/11/21 22:14:11",30.00,22.30
111900000,1669069151,"2022/11/21 22:19:11",29.60,22.30
112199999,1669069451,"2022/11/21 22:24:11",29.30,22.40
112499999,1669069751,"2022/11/21 22:29:11",29.10,22.40
112799998,1669070050,"2022/11/21 22:34:10",29.10,22.40
113099999,1669070350,"2022/11/21 22:39:10",29.00,22.40
113400000,1669070650,"2022/11/21 22:44:10",29.00,22.30
113699998,1669070950,"2022/11/21 22:49:10",28.90,22.40
114000000,1669071250,"2022/11/21 22:54:10",28.70,22.40
114300000,1669071549,"2022/11/21 22:59:9",28.80,22.40
114599999,1669071849,"2022/11/21 23:4:9",28.70,22.40
114899998,1669072149,"2022/11/21 23:9:9",28.70,22.40
115200000,1669072449,"2022/11/21 23:14:9",28.50,22.40
115500000,1669072749,"2022/11/21 23:19:9",28.60,22.40
115799999,1669073049,"2022/11/21 23:24:9",28.50,22.40
116099999,1669073348,"2022/11/21 23:29:8",28.10,22.40
116400000,1669073648,"2022/11/21 23:34:8",28.60,22.30
116700000,1669073948,"2022/11/21 23:39:8",28.60,22.40
117000000,1669074248,"2022/11/21 23:44:8",28.80,22.40
117299999,1669074547,"2022/11/21 23:49:7",28.90,22.20
117600000,1669074847,"2022/11/21 23:54:7",29.00,22.10
117899999,1669075147,"2022/11/21 23:59:7",29.10,21.90
118199999,1669075447,"2022/11/22 0:4:7",29.20,21.90
118499999,1669075747,"2022/11/22 0:9:7",29.10,21.80
118800000,1669076047,"2022/11/22 0:14:7",29.20,21.80
119099999,1669076346,"2022/11/22 0:19:6",29.30,21.70
119399999,1669076646,"2022/11/22 0:24:6",29.70,21.80
119699998,1669076946,"2022/11/22 0:29:6",30.20,21.80
120000000,1669077246,"2022/11/22 0:34:6",30.50,21.70
120299999,1669077546,"2022/11/22 0:39:6",30.40,21.70
120599999,1669077845,"2022/11/22 0:44:5",30.40,21.70
120899998,1669078145,"2022/11/22 0:49:5",30.60,21.70
121200000,1669078445,"2022/11/22 0:54:5",30.20,21.70
121500000,1669078745,"2022/11/22 0:59:5",30.20,21.80
121799999,1669079045,"2022/11/22 1:4:5",31.10,21.80
122099999,1669079344,"2022/11/22 1:9:4",30.50,21.80
122400000,1669079644,"2022/11/22 1:14:4",31.10,21.80
122700000,1669079944,"2022/11/22 1:19:4",31.30,21.80
123000000,1669080244,"2022/11/22 1:24:4",30.60,21.80
123299999,1669080544,"2022/11/22 1:29:4",30.40,21.70
123600000,1669080843,"2022/11/22 1:34:3",30.90,21.70
123899999,1669081143,"2022/11/22 1:39:3",30.70,21.70
124199999,1669081443,"2022/11/22 1:44:3",30.00,21.70
124499999,1669081743,"2022/11/22 1:49:3",30.30,21.70
124800000,1669082043,"2022/11/22 1:54:3",30.30,21.60
125099999,1669082342,"2022/11/22 1:59:2",30.30,21.70
125399999,1669082642,"2022/11/22 2:4:2",30.00,21.60
125699999,1669082942,"2022/11/22 2:9:2",30.20,21.60
126000000,1669083242,"2022/11/22 2:14:2",30.40,21.60
126299999,1669083542,"2022/11/22 2:19:2",30.70,21.70
126600000,1669083842,"2022/11/22 2:24:2",31.40,21.60
126899999,1669084141,"2022/11/22 2:29:1",31.60,21.60
127200000,1669084441,"2022/11/22 2:34:1",31.10,21.60
127500000,1669084741,"2022/11/22 2:39:1",31.00,21.60
127799999,1669085041,"2022/11/22 2:44:1",31.30,21.50
128099998,1669085341,"2022/11/22 2:49:1",31.20,21.50
128399998,1669085640,"2022/11/22 2:54:0",30.60,21.60
128699999,1669085940,"2022/11/22 2:59:0",30.80,21.50
128999999,1669086240,"2022/11/22 3:4:0",30.60,21.50
129299998,1669086540,"2022/11/22 3:9:0",30.40,21.40
129599998,1669086840,"2022/11/22 3:14:0",30.00,21.40
129900000,1669087139,"2022/11/22 3:18:59",30.00,21.50
130200000,1669087439,"2022/11/22 3:23:59",29.90,21.40
130499999,1669087739,"2022/11/22 3:28:59",30.00,21.50
130800000,1669088039,"2022/11/22 3:33:59",29.90,21.40
131099999,1669088339,"2022/11/22 3:38:59",29.70,21.40
